date,underlying_pct,boc,resid,composition_pct,raw_mean_pct,n_obs_curr,n_obs_base
2024-09-01,4.033461859656096,3.9,0.1334618596560957,0.5123454902097313,4.525624869443412,56764,55996
2024-10-01,4.37448513803016,4.3,0.07448513803015988,0.3423494689655415,4.694241774775243,57224,55878
2024-11-01,4.001297798211478,3.8,0.20129779821147853,0.3507257641113259,4.344771342688469,57328,55478
2024-12-01,3.7729737606722713,3.6,0.17297376067227122,0.3112597157515884,4.091698028938651,56442,55229
2025-01-01,3.649829489299261,3.5,0.1498294892992611,-0.0355585960969184,3.6376788384829375,55709,55027
2025-02-01,3.882017355861223,3.8,0.08201735586122316,-0.1665555779358229,3.694240791142178,57015,55649
2025-03-01,3.7268968465567154,3.6,0.1268968465567153,-0.3328988603722771,3.431169145121804,57930,56213
2025-04-01,3.648992291672992,3.5,0.14899229167299222,-0.2324737337524141,3.416770078477316,58429,56903
2025-05-01,3.3957989129735244,3.2,0.19579891297352425,-0.1528622721065575,3.2235232889964216,59437,58377
2025-06-01,3.2900783714111093,3.1,0.19007837141110917,-0.1984719959185366,3.088146195934116,59324,58745
2025-07-01,3.392767254432228,3.3,0.092767254432228,-0.1253852994485438,3.302516996882288,58167,57703
2025-08-01,3.0404467945441604,3.0,0.04044679454416045,0.0051618711127909,3.1196522062150844,57301,57238
2025-09-01,3.002405126098351,2.9,0.10240512609835095,0.1793080798305313,3.227006385460296,56880,56764
2025-10-01,2.7768294636528745,2.7,0.07682946365287435,0.492719144765319,3.3404295325945244,56867,57224
2025-11-01,2.999882283717792,2.9,0.09988228371779195,0.2930505435888575,3.3055405051756197,56056,57328
2025-12-01,2.8655848018883434,2.8,0.06558480188834359,0.3971538736832203,3.2607398786689057,55678,56442
2026-01-01,2.8618650247738358,2.7,0.16186502477383558,0.3091345426930125,3.132405385400494,55515,55709
2026-02-01,2.7562732179029714,2.6,0.15627321790297133,0.7976143415636905,3.547467070228927,55610,57015
2026-03-01,3.2268342932427307,3.1,0.12683429324273066,0.9671848987842236,4.1947951544131445,55798,57930
